文件名称,截图时间,设备型号,用户
Screenshot_2021-04-11-05-42-48-756_tv.danmaku.bili.jpg,2021-04-11 05:42:04,Redmi K30 Pro,自己
Screenshot_2021-04-11-05-42-56-988_tv.danmaku.bili.jpg,2021-04-11 05:42:05,Redmi K30 Pro,自己
Screenshot_2021-04-11-07-43-30-311_tv.danmaku.bili.jpg,2021-04-11 07:43:03,Redmi K30 Pro,自己
Screenshot_2021-04-11-07-43-33-268_tv.danmaku.bili.jpg,2021-04-11 07:43:03,Redmi K30 Pro,自己
Screenshot_2021-04-11-07-47-57-389_tv.danmaku.bili.jpg,2021-04-11 07:47:05,Redmi K30 Pro,自己
Screenshot_2021-04-11-07-48-14-384_tv.danmaku.bili.jpg,2021-04-11 07:48:01,Redmi K30 Pro,自己
Screenshot_2021-04-11-07-53-32-042_com.tencent.mobileqq.jpg,2021-04-11 07:53:03,Redmi K30 Pro,自己
Screenshot_2021-04-11-08-54-44-261_com.PigeonGames.Phigros.jpg,2021-04-11 08:54:04,Redmi K30 Pro,自己
Screenshot_2021-04-11-10-02-04-043_com.PigeonGames.Phigros.jpg,2021-04-11 10:02:00,Redmi K30 Pro,自己
Screenshot_2021-04-11-19-46-45-422_com.tencent.mobileqq.jpg,2021-04-11 19:46:04,Redmi K30 Pro,自己
Screenshot_2021-04-11-19-46-53-461_com.tencent.mobileqq.jpg,2021-04-11 19:46:05,Redmi K30 Pro,自己
Screenshot_2021-04-11-20-22-36-579_tv.danmaku.bili.jpg,2021-04-11 20:22:03,Redmi K30 Pro,自己
Screenshot_2021-04-14-18-34-44-546_com.PigeonGames.Phigros.jpg,2021-04-14 18:34:04,Redmi K30 Pro,自己
Screenshot_2021-04-14-19-40-58-652_com.picacomic.fregata.jpg,2021-04-14 19:40:05,Redmi K30 Pro,自己
